pleiadesId,geonamesId
197130,3044821
197130,3045037
197130,3045039/
197130,3045294
197130,3045386
197130,3045528
197130,3045965
197130,3045979
197130,3046036
197130,3046087
197130,3046340
197130,3046343
197130,3046345
197130,3046353
197130,3046546
197130,3046556
197130,3046658
197130,3047211
197130,3047647
197130,3048072
197130,3048326
197130,3048464
197130,3049979
197130,3050714
197130,3050719
197130,3050781
197130,3051043
197130,3051632
197130,3051657
197130,3051924
197130,3053147
197130,3053281
197130,3053283
197130,3053321
197130,3053684
197130,3053760
197130,3054027
197130,3054439
197130,3054450
197130,3054462
197130,3054643
197130,3054646
197130,3054648
197130,3054651
197130,3054663
197130,3054667
197130,3054853
197130,3055030
197130,3055041
197130,3055062
197130,3055410
197130,3055572
197130,3056022
197130,3056052
197130,3056321
197130,3056326
197130,3056414
197130,7117203
197130,723041
197130,7284823
197130,7284824
197130,7284830
197130,7284834
197130,7284842
197130,7284843
197130,7284844
197134,3192178
197134,3198356
197134,3204492
197139,3189964
197141,3052009
197141,3052182
197141,3055761
197143,3190870
197143,3192278
197143,3193788
197145,3164603
197145,3189112
197145,3193475
197145,3196459
197145,3196971
197145,3197434
197145,3200001
197145,3201449
197145,3201914
197145,3203062
197145,3203322
197145,3204293
197145,3215219
197147,3188756
197147,3191026
197147,3191040
197147,8988389
197148,3189128
197148,3292446
197152,3193788
197155,3045045
197155,3046457
197155,3053448
197155,3056290
197164,3188633
197164,3292512
197167,3187588
197167,3187888
197167,3192320
197167,3196324
197167,3199414
197167,3204220
197167,3213105
197167,3288693
197167,3288697
197167,3288712
197167,3288763
197167,3288867
197167,3288884
197177,3190610
197177,3209465
197178,3189438
197178,3190679
197178,3192674
197178,3194524
197178,3201339
197178,3201468
197178,3201877
197178,3203594
197180,3044083
197180,3044294
197180,3044305
197180,3044774
197180,3044968
197180,3046073
197180,3048005
197180,3049421
197180,3049451
197180,3049511
197180,3049519
197180,3053495
197180,3055002
197180,3056547
197180,3059436
197180,3059760
197180,3059821
197180,6422151
197184,3190443
197184,3191469
197184,3193733
197184,3193773
197184,3194899
197184,3197986
197184,3198135
197184,3199030
197184,3202047
197187,3044475
197187,3047502
197187,3054269
197187,3054630
197187,3054853
197187,7284838
197197,3202544
197197,3204541
197199,3046346
197206,3186844
197206,3187448
197206,3187598
197206,3187661
197206,3187922
197206,3188915
197206,3189776
197206,3190500
197206,3190534
197206,3190707
197206,3190714
197206,3191034
197206,3191062
197206,3191638
197206,3192144
197206,3192241
197206,3193401
197206,3193532
197206,3194693
197206,3196554
197206,3196760
197206,3196768
197206,3197606
197206,3197668
197206,3199219
197206,3201927
197206,3201978
197206,3202517
197206,3202781
197206,3202912
197206,3217102
197206,3338862
197206,3338875
197206,3339120
197206,8987029
197206,8987288
197206,8987506
197206,8987535
197206,8987815
197206,8988008
197206,8988835
197207,3187719
197207,3194552
197208,3053495
197210,3194422
197210,3220478
197211,3187519
197211,3193726
197211,3197902
197212,3194245
197212,3197071
197218,3189942
197218,3339118
197219,3194642
197219,3194643
197219,3199325
197220,7284830
197224,3186331
197224,3190465
197224,3197710
197224,3202868
197225,3192438
197225,3192717
197225,3194381
197225,3201465
197227,3190307
197229,3193885
197229,3202523
197229,3204328
197232,3044084
197232,3046096
197232,3047282
197232,3055671
197235,3197208
197235,3198557
197244,3189536
197244,3189869
197244,3191279
197244,3191736
197244,3192364
197244,3194903
197244,3196627
197244,3200930
197244,3201502
197244,3202321
197244,3203729
197244,3283770
197247,3189823
197247,3191528
197247,3192518
197247,3199359
197247,3262379
197259,3196359
197259,3196776
197259,3199523
197259,8987026
197262,3189844
197262,3192910
197262,3215840
197262,3281054
197263,3196176
197263,3201047
197263,3202825
197263,3263323
197263,3263732
